"School Year","Division Number","Division Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2013-2014","90","Surry County","934"," ","934"
"2013-2014","91","Sussex County","1,112"," ","1,112"
"2013-2014","92","Tazewell County","6,345","1","6,346"
"2013-2014","128","Virginia Beach City","70,556"," ","70,556"
"2013-2014","93","Warren County","5,477","7","5,484"
"2013-2014","94","Washington County","7,418","2","7,420"
"2013-2014","130","Waynesboro City","3,178","1","3,179"
"2013-2014","207","West Point","793"," ","793"
"2013-2014","95","Westmoreland County","1,698"," ","1,698"
"2013-2014","131","Williamsburg-James City County","11,285"," ","11,285"
"2013-2014","132","Winchester City","4,240"," ","4,240"
"2013-2014","96","Wise County","6,192"," ","6,192"
"2013-2014","97","Wythe County","4,323"," ","4,323"
"2013-2014","98","York County","12,471","3","12,474"
"2014-2015","1","Accomack County","5,255"," ","5,255"
"2014-2015","2","Albemarle County","13,680","9","13,689"
"2014-2015","101","Alexandria City","14,216","143","14,359"
"2014-2015","3","Alleghany County","2,330"," ","2,330"
"2014-2015","4","Amelia County","1,810"," ","1,810"
"2014-2015","5","Amherst County","4,268"," ","4,268"
"2014-2015","6","Appomattox County","2,305"," ","2,305"
"2014-2015","7","Arlington County","24,559","2","24,561"
"2014-2015","8","Augusta County","10,522","2","10,524"
"2014-2015","9","Bath County","612"," ","612"
"2014-2015","10","Bedford County","10,097","2","10,099"
"2014-2015","11","Bland County","830"," ","830"
"2014-2015","12","Botetourt County","4,863","3","4,866"
"2014-2015","102","Bristol City","2,303"," ","2,303"
"2014-2015","13","Brunswick County","1,857"," ","1,857"
"2014-2015","14","Buchanan County","3,126"," ","3,126"
"2014-2015","15","Buckingham County","2,147"," ","2,147"
"2014-2015","103","Buena Vista City","1,055"," ","1,055"
"2014-2015","16","Campbell County","8,138"," ","8,138"
"2014-2015","17","Caroline County","4,357"," ","4,357"
"2014-2015","18","Carroll County","3,890"," ","3,890"
"2014-2015","19","Charles City County","710"," ","710"
"2014-2015","20","Charlotte County","1,968","3","1,971"
"2014-2015","104","Charlottesville City","4,356"," ","4,356"
"2014-2015","136","Chesapeake City","39,707","8","39,715"
"2014-2015","21","Chesterfield County","59,725","29","59,754"
"2014-2015","22","Clarke County","1,995","13","2,008"
"2014-2015","202","Colonial Beach","553"," ","553"
"2014-2015","106","Colonial Heights City","2,826"," ","2,826"
"2014-2015","107","Covington City","1,002"," ","1,002"
"2014-2015","23","Craig County","646"," ","646"
"2014-2015","24","Culpeper County","8,074","5","8,079"
"2014-2015","25","Cumberland County","1,431"," ","1,431"
"2014-2015","108","Danville City","6,315"," ","6,315"
"2014-2015","26","Dickenson County","2,346"," ","2,346"
"2014-2015","27","Dinwiddie County","4,444"," ","4,444"
"2014-2015","28","Essex County","1,526"," ","1,526"
"2014-2015","29","Fairfax County","185,538","22","185,560"
"2014-2015","109","Falls Church City","2,465"," ","2,465"
"2014-2015","30","Fauquier County","11,165"," ","11,165"
"2014-2015","31","Floyd County","1,990"," ","1,990"
"2014-2015","32","Fluvanna County","3,627","2","3,629"
"2014-2015","135","Franklin City","1,201"," ","1,201"
"2014-2015","33","Franklin County","7,481"," ","7,481"
"2014-2015","34","Frederick County","13,181"," ","13,181"
"2014-2015","110","Fredericksburg City","3,466"," ","3,466"
"2014-2015","111","Galax City","1,387"," ","1,387"
"2014-2015","35","Giles County","2,423","1","2,424"
"2014-2015","36","Gloucester County","5,529"," ","5,529"
"2014-2015","37","Goochland County","2,438"," ","2,438"
"2014-2015","38","Grayson County","1,769"," ","1,769"
"2014-2015","39","Greene County","3,185","3","3,188"
"2014-2015","40","Greensville County","2,534"," ","2,534"
"2014-2015","41","Halifax County","5,525"," ","5,525"
"2014-2015","112","Hampton City","20,796","2","20,798"
"2014-2015","42","Hanover County","18,041"," ","18,041"
